car,move
F,-2
B,1
F,1
A,-1
F,1
A,1
B,-1
F,-3
B,1
E,-1
B,2
X,-2
G,-2
F,1
G,1
A,-1
H,-1
G,-1
A,-1
H,1
A,1
G,2
F,-2
X,1
F,2
A,-1
F,-2
A,2
X,-2
B,-1
G,-1
H,-2
B,-2
E,1
H,2
E,-1
G,1
E,1
B,1
A,-1
G,-2
A,1
H,-3
E,3
A,-1
G,1
B,1
H,1
A,1
B,-2
H,-1
B,2
H,3
B,-2
H,-4
B,3
G,-1
X,1
G,1
F,2
A,-1
F,-2
F,3
A,-2
G,-2
F,-2
E,-1
F,2
X,-1
B,-3
D,-2
H,1
C,1
H,2
E,-1
H,-2
C,2
D,-1
C,-1
H,3
G,1
C,-2
H,-4
E,1
H,3
G,-1
E,-2
G,2
C,3
F,1
C,-2
G,-2
H,1
G,3
D,-1
G,-1
C,1
D,1
G,-2
H,-1
G,2
H,-2
D,-1
C,-1
D,1
C,-1
H,3
D,-1
B,1
H,-3
G,1
A,2
G,-1
H,1
A,1
H,-1
B,-1
C,3
H,2
C,-2
H,-2
C,1
D,1
C,1
G,-1
H,2
C,-2
H,1
C,1
A,1
F,-1
E,2
H,-3
G,-1
D,1
H,-1
C,1
D,1
B,1
E,-1
H,3
B,-1
H,-1
C,-1
H,2
F,1
B,1
E,1
B,2
H,-1
X,1
F,-1
H,1
F,-3
X,-1
C,-1
B,-3
E,-3
D,-3
G,3
A,-1
C,1
G,-1
E,1
B,1
C,-1
H,-1
A,-1
G,-1
E,-1
B,1
H,1
C,1
H,-4
B,1
A,2
G,1
A,-3
X,1
A,1
C,-2
G,-1
F,1
A,1
F,-1
A,-2
F,1
C,1
A,3
G,1
A,-4
C,2
A,2
G,1
X,1
C,-2
A,-2
C,2
A,3
X,1
A,-2
X,1
